jp/borrowed,<name>,同音の書き換え字
爛,jp/borrowed,乱,文脈依存
疆,jp/borrowed,境,文脈依存
哺,jp/borrowed,保,文脈依存
繃,jp/borrowed,包,文脈依存
厖,jp/borrowed,膨,文脈依存
庖,jp/borrowed,包,文脈依存
鋪,jp/borrowed,舗,文脈依存
姆,jp/borrowed,母,文脈依存
妄,jp/borrowed,盲,文脈依存
鄙,jp/borrowed,卑,文脈依存
窟,jp/borrowed,屈,文脈依存
悧,jp/borrowed,利,文脈依存
俚,jp/borrowed,里,文脈依存
繫,jp/borrowed,係,文脈依存
繋,jp/borrowed,係,文脈依存・拡張新字体
彎,jp/borrowed,湾,文脈依存
弯,jp/borrowed,湾,文脈依存・拡張新字体
潑,jp/borrowed,発,文脈依存
溌,jp/borrowed,発,文脈依存・拡張新字体
撈,jp/borrowed,労,文脈依存
捞,jp/borrowed,労,文脈依存・拡張新字体
倆,jp/borrowed,量,文脈依存
𠈓,jp/borrowed,量,文脈依存・拡張新字体
嶮,jp/borrowed,険,文脈依存
𡸴,jp/borrowed,険,文脈依存・拡張新字体
儼,jp/borrowed,厳,文脈依存
𠑊,jp/borrowed,厳,文脈依存・拡張新字体
曠,jp/borrowed,広,文脈依存
昿,jp/borrowed,広,文脈依存・拡張新字体
顚,jp/borrowed,転,文脈依存
顛,jp/borrowed,転,文脈依存・拡張新字体
滲,jp/borrowed,浸,文脈依存
渗,jp/borrowed,浸,文脈依存・拡張新字体
醱,jp/borrowed,発,文脈依存
醗,jp/borrowed,発,文脈依存・拡張新字体
拋,jp/borrowed,放,文脈依存
抛,jp/borrowed,放,文脈依存・拡張新字体
