U+07E26	U+07E31
U+07E41	U+0FA59
U+07E4A	U+07E96
U+07F36	U+07F50
U+07F72	U+0FA5A
U+07FFB	U+098DC
U+08005	U+0FA5B
U+08074	U+0807D
U+080C6	U+081BD
U+08133	U+08166
U+081D3	U+081DF
U+081ED	U+0FA5C
U+082B8	U+085DD
U+0830E	U+08396
U+08358	U+0838A
U+08457	U+0FA5F
U+08535	U+085CF
U+085AB	U+085B0
U+085AC	U+085E5
U+0865A	U+0865B
U+0865C	U+0F936
U+0866B	U+087F2
U+08695	U+08836
U+086CD	U+087A2
U+086EE	U+0883B
U+0885B	U+0885E
U+088C5	U+088DD
U+08910	U+0FA60
U+08912	U+08943
U+08987	U+09738
U+08996	U+0FA61
U+0899A	U+089BA
U+089A7	U+089BD
U+089B3	U+089C0
U+089E6	U+089F8
U+08A33	U+08B6F
U+08A3C	U+08B49
U+08A89	U+08B7D
U+08AAD	U+08B80
U+08AF8	U+0FA22
U+08B01	U+0FA62
U+08B21	U+08B20
U+08B39	U+0FA63
U+08B72	U+08B93
U+08C4A	U+08C50
U+08CD3	U+0FA64
U+08CDB	U+08D0A
U+08D08	U+0FA65
U+08DF5	U+08E10
U+08EE2	U+08F49
U+08EFD	U+08F15
U+08F9E	U+08FAD
U+08FBA	U+0908A
U+09013	U+0905E
U+09038	U+0FA67
U+09045	U+09072
U+090CE	U+090DE
U+090F7	U+09115
U+090FD	U+0FA26
U+09154	U+09189
U+091B8	U+091C0
U+091C8	U+091CB
U+09244	U+09435
U+09271	U+0945B
U+092AD	U+09322
U+092F3	U+09444
U+0932C	U+0934A
U+09332	U+09304
U+093AE	U+093AD
U+095A2	U+095DC
U+095D8	U+09B2A
U+09665	U+09677
U+0967A	U+096AA
U+09686	U+0F9DC
U+0968F	U+096A8
U+096A0	U+096B1
U+096D1	U+096DC
U+096E3	U+0FA68
U+0970A	U+09748
U+09759	U+0975C
U+097FF	U+0FA69
U+0983B	U+0FA6A
U+0983C	U+08CF4
U+09855	U+0986F
U+0985E	U+0F9D0
U+099C5	U+09A5B
U+099C6	U+09A45
U+09A12	U+09A37
U+09A13	U+09A57
U+09AC4	U+09AD3
U+09AEA	U+09AEE
U+09D8F	U+09DC4
U+09EA6	U+09EA5
U+09EC4	U+09EC3
U+09ED2	U+09ED1
U+09ED9	U+09ED8
U+09F62	U+09F61
