# 互換漢字（KS/JIS除く）
compat/variant,<rev>,compat/regular
𢆃,compat/variant,𢆃
㡼,compat/variant,㡼
庰,compat/variant,庰
庳,compat/variant,庳
庶,compat/variant,庶
廊,compat/variant,廊
𪎒,compat/variant,𪎒
廾,compat/variant,廾
𢌱,compat/variant,𢌱
𢌱,compat/variant,𢌱
舁,compat/variant,舁
弢,compat/variant,弢
弢,compat/variant,弢
㣇,compat/variant,㣇
𣊸,compat/variant,𣊸
𦇚,compat/variant,𦇚
形,compat/variant,形
彫,compat/variant,彫
㣣,compat/variant,㣣
徚,compat/variant,徚
忍,compat/variant,忍
志,compat/variant,志
忹,compat/variant,忹
悁,compat/variant,悁
㤺,compat/variant,㤺
㤜,compat/variant,㤜
悔,compat/variant,悔
𢛔,compat/variant,𢛔
惇,compat/variant,惇
慈,compat/variant,慈
慌,compat/variant,慌
慎,compat/variant,慎
慌,compat/variant,慌
慺,compat/variant,慺
憎,compat/variant,憎
憲,compat/variant,憲
憤,compat/variant,憤
憯,compat/variant,憯
懞,compat/variant,懞
懲,compat/variant,懲
懶,compat/variant,懶
成,compat/variant,成
戛,compat/variant,戛
扝,compat/variant,扝
抱,compat/variant,抱
拔,compat/variant,拔
捐,compat/variant,捐
𢬌,compat/variant,𢬌
挽,compat/variant,挽
拼,compat/variant,拼
捨,compat/variant,捨
掃,compat/variant,掃
揤,compat/variant,揤
𢯱,compat/variant,𢯱
搢,compat/variant,搢
揅,compat/variant,揅
掩,compat/variant,掩
㨮,compat/variant,㨮
摩,compat/variant,摩
摾,compat/variant,摾
撝,compat/variant,撝
摷,compat/variant,摷
㩬,compat/variant,㩬
敏,compat/variant,敏
敬,compat/variant,敬
𣀊,compat/variant,𣀊
旣,compat/variant,旣
書,compat/variant,書
晉,compat/variant,晉
㬙,compat/variant,㬙
暑,compat/variant,暑
㬈,compat/variant,㬈
㫤,compat/variant,㫤
冒,compat/variant,冒
冕,compat/variant,冕
最,compat/variant,最
暜,compat/variant,暜
肭,compat/variant,肭
䏙,compat/variant,䏙
朗,compat/variant,朗
望,compat/variant,望
朡,compat/variant,朡
杞,compat/variant,杞
杓,compat/variant,杓
𣏃,compat/variant,𣏃
㭉,compat/variant,㭉
柺,compat/variant,柺
枅,compat/variant,枅
桒,compat/variant,桒
梅,compat/variant,梅
𣑭,compat/variant,𣑭
梎,compat/variant,梎
栟,compat/variant,栟
椔,compat/variant,椔
㮝,compat/variant,㮝
楂,compat/variant,楂
榣,compat/variant,榣
槪,compat/variant,槪
檨,compat/variant,檨
𣚣,compat/variant,𣚣
櫛,compat/variant,櫛
㰘,compat/variant,㰘
次,compat/variant,次
𣢧,compat/variant,𣢧
歔,compat/variant,歔
㱎,compat/variant,㱎
歲,compat/variant,歲
殟,compat/variant,殟
殺,compat/variant,殺
殻,compat/variant,殻
𣪍,compat/variant,𣪍
𡴋,compat/variant,𡴋
𣫺,compat/variant,𣫺
汎,compat/variant,汎
𣲼,compat/variant,𣲼
沿,compat/variant,沿
泍,compat/variant,泍
汧,compat/variant,汧
洖,compat/variant,洖
派,compat/variant,派
海,compat/variant,海
流,compat/variant,流
浩,compat/variant,浩
浸,compat/variant,浸
涅,compat/variant,涅
𣴞,compat/variant,𣴞
洴,compat/variant,洴
港,compat/variant,港
湮,compat/variant,湮
㴳,compat/variant,㴳
滋,compat/variant,滋
滇,compat/variant,滇
𣻑,compat/variant,𣻑
淹,compat/variant,淹
潮,compat/variant,潮
𣽞,compat/variant,𣽞
𣾎,compat/variant,𣾎
濆,compat/variant,濆
瀹,compat/variant,瀹
瀞,compat/variant,瀞
瀛,compat/variant,瀛
㶖,compat/variant,㶖
灊,compat/variant,灊
災,compat/variant,災
灷,compat/variant,灷
炭,compat/variant,炭
𠔥,compat/variant,𠔥
煅,compat/variant,煅
𤉣,compat/variant,𤉣
熜,compat/variant,熜
𤎫,compat/variant,𤎫
爨,compat/variant,爨
爵,compat/variant,爵
牐,compat/variant,牐
𤘈,compat/variant,𤘈
犀,compat/variant,犀
犕,compat/variant,犕
𤜵,compat/variant,𤜵
𤠔,compat/variant,𤠔
獺,compat/variant,獺
王,compat/variant,王
㺬,compat/variant,㺬
玥,compat/variant,玥
㺸,compat/variant,㺸
㺸,compat/variant,㺸
瑇,compat/variant,瑇
瑜,compat/variant,瑜
瑱,compat/variant,瑱
璅,compat/variant,璅
瓊,compat/variant,瓊
㼛,compat/variant,㼛
甤,compat/variant,甤
𤰶,compat/variant,𤰶
甾,compat/variant,甾
𤲒,compat/variant,𤲒
異,compat/variant,異
𢆟,compat/variant,𢆟
瘐,compat/variant,瘐
𤾡,compat/variant,𤾡
𤾸,compat/variant,𤾸
𥁄,compat/variant,𥁄
㿼,compat/variant,㿼
䀈,compat/variant,䀈
直,compat/variant,直
𥃳,compat/variant,𥃳
𥃲,compat/variant,𥃲
𥄙,compat/variant,𥄙
𥄳,compat/variant,𥄳
眞,compat/variant,眞
真,compat/variant,真
真,compat/variant,真
睊,compat/variant,睊
䀹,compat/variant,䀹
瞋,compat/variant,瞋
䁆,compat/variant,䁆
䂖,compat/variant,䂖
𥐝,compat/variant,𥐝
硎,compat/variant,硎
碌,compat/variant,碌
磌,compat/variant,磌
䃣,compat/variant,䃣
𥘦,compat/variant,𥘦
祖,compat/variant,祖
𥚚,compat/variant,𥚚
𥛅,compat/variant,𥛅
福,compat/variant,福
秫,compat/variant,秫
䄯,compat/variant,䄯
穀,compat/variant,穀
穊,compat/variant,穊
穏,compat/variant,穏
𥥼,compat/variant,𥥼
𥪧,compat/variant,𥪧
𥪧,compat/variant,𥪧
竮,compat/variant,竮
䈂,compat/variant,䈂
𥮫,compat/variant,𥮫
篆,compat/variant,篆
築,compat/variant,築
䈧,compat/variant,䈧
𥲀,compat/variant,𥲀
糒,compat/variant,糒
䊠,compat/variant,䊠
糨,compat/variant,糨
糣,compat/variant,糣
紀,compat/variant,紀
𥾆,compat/variant,𥾆
絣,compat/variant,絣
䌁,compat/variant,䌁
緇,compat/variant,緇
縂,compat/variant,縂
繅,compat/variant,繅
䌴,compat/variant,䌴
𦈨,compat/variant,𦈨
𦉇,compat/variant,𦉇
䍙,compat/variant,䍙
𦋙,compat/variant,𦋙
罺,compat/variant,罺
𦌾,compat/variant,𦌾
羕,compat/variant,羕
翺,compat/variant,翺
者,compat/variant,者
𦓚,compat/variant,𦓚
𦔣,compat/variant,𦔣
聠,compat/variant,聠
𦖨,compat/variant,𦖨
聰,compat/variant,聰
𣍟,compat/variant,𣍟
䏕,compat/variant,䏕
育,compat/variant,育
脃,compat/variant,脃
䐋,compat/variant,䐋
脾,compat/variant,脾
媵,compat/variant,媵
𦞧,compat/variant,𦞧
𦞵,compat/variant,𦞵
𣎓,compat/variant,𣎓
𣎜,compat/variant,𣎜
舁,compat/variant,舁
舄,compat/variant,舄
辞,compat/variant,辞
䑫,compat/variant,䑫
芑,compat/variant,芑
芋,compat/variant,芋
芝,compat/variant,芝
劳,compat/variant,劳
花,compat/variant,花
芳,compat/variant,芳
芽,compat/variant,芽
苦,compat/variant,苦
𦬼,compat/variant,𦬼
若,compat/variant,若
茝,compat/variant,茝
荣,compat/variant,荣
莭,compat/variant,莭
茣,compat/variant,茣
莽,compat/variant,莽
菧,compat/variant,菧
著,compat/variant,著
荓,compat/variant,荓
菊,compat/variant,菊
菌,compat/variant,菌
菜,compat/variant,菜
𦰶,compat/variant,𦰶
𦵫,compat/variant,𦵫
𦳕,compat/variant,𦳕
䔫,compat/variant,䔫
蓱,compat/variant,蓱
蓳,compat/variant,蓳
蔖,compat/variant,蔖
𧏊,compat/variant,𧏊
蕤,compat/variant,蕤
𦼬,compat/variant,𦼬
䕝,compat/variant,䕝
䕡,compat/variant,䕡
𦾱,compat/variant,𦾱
𧃒,compat/variant,𧃒
䕫,compat/variant,䕫
虐,compat/variant,虐
虜,compat/variant,虜
虧,compat/variant,虧
虩,compat/variant,虩
蚩,compat/variant,蚩
蚈,compat/variant,蚈
蜎,compat/variant,蜎
蛢,compat/variant,蛢
蝹,compat/variant,蝹
蜨,compat/variant,蜨
蝫,compat/variant,蝫
螆,compat/variant,螆
䗗,compat/variant,䗗
蟡,compat/variant,蟡
蠁,compat/variant,蠁
䗹,compat/variant,䗹
衠,compat/variant,衠
衣,compat/variant,衣
𧙧,compat/variant,𧙧
裗,compat/variant,裗
裞,compat/variant,裞
䘵,compat/variant,䘵
裺,compat/variant,裺
㒻,compat/variant,㒻
𧢮,compat/variant,𧢮
𧥦,compat/variant,𧥦
䚾,compat/variant,䚾
䛇,compat/variant,䛇
誠,compat/variant,誠
諭,compat/variant,諭
變,compat/variant,變
豕,compat/variant,豕
𧲨,compat/variant,𧲨
貫,compat/variant,貫
賁,compat/variant,賁
贛,compat/variant,贛
起,compat/variant,起
𧼯,compat/variant,𧼯
𠠄,compat/variant,𠠄
跋,compat/variant,跋
趼,compat/variant,趼
跰,compat/variant,跰
𠣞,compat/variant,𠣞
軔,compat/variant,軔
輸,compat/variant,輸
𨗒,compat/variant,𨗒
𨗭,compat/variant,𨗭
邔,compat/variant,邔
郱,compat/variant,郱
鄑,compat/variant,鄑
𨜮,compat/variant,𨜮
鄛,compat/variant,鄛
鈸,compat/variant,鈸
鋗,compat/variant,鋗
鋘,compat/variant,鋘
鉼,compat/variant,鉼
鏹,compat/variant,鏹
鐕,compat/variant,鐕
𨯺,compat/variant,𨯺
開,compat/variant,開
䦕,compat/variant,䦕
閷,compat/variant,閷
𨵷,compat/variant,𨵷
䧦,compat/variant,䧦
雃,compat/variant,雃
嶲,compat/variant,嶲
霣,compat/variant,霣
𩅅,compat/variant,𩅅
𩈚,compat/variant,𩈚
䩮,compat/variant,䩮
䩶,compat/variant,䩶
韠,compat/variant,韠
𩐊,compat/variant,𩐊
䪲,compat/variant,䪲
𩒖,compat/variant,𩒖
頋,compat/variant,頋
頋,compat/variant,頋
頩,compat/variant,頩
𩖶,compat/variant,𩖶
飢,compat/variant,飢
䬳,compat/variant,䬳
餩,compat/variant,餩
馧,compat/variant,馧
駂,compat/variant,駂
駾,compat/variant,駾
䯎,compat/variant,䯎
𩬰,compat/variant,𩬰
鬒,compat/variant,鬒
鱀,compat/variant,鱀
鳽,compat/variant,鳽
䳎,compat/variant,䳎
䳭,compat/variant,䳭
鵧,compat/variant,鵧
𪃎,compat/variant,𪃎
䳸,compat/variant,䳸
𪄅,compat/variant,𪄅
𪈎,compat/variant,𪈎
𪊑,compat/variant,𪊑
麻,compat/variant,麻
䵖,compat/variant,䵖
黹,compat/variant,黹
黾,compat/variant,黾
鼅,compat/variant,鼅
鼏,compat/variant,鼏
鼖,compat/variant,鼖
鼻,compat/variant,鼻
𪘀,compat/variant,𪘀
