# 第一批異体字整理表（一異表）
yyb/variant,<rev>,yyb/regular
槁,yyb/variant,槀
糕,yyb/variant,餻
稿,yyb/variant,稾
閣,yyb/variant,閤
胳,yyb/variant,肐
歌,yyb/variant,謌
個,yyb/variant,箇
亘,yyb/variant,亙
耕,yyb/variant,畊
粳,yyb/variant,稉
粳,yyb/variant,秔
鯁,yyb/variant,骾
躬,yyb/variant,躳
够,yyb/variant,夠
鈎,yyb/variant,鉤
構,yyb/variant,搆
雇,yyb/variant,僱
鼓,yyb/variant,皷
挂,yyb/variant,掛
挂,yyb/variant,罣
括,yyb/variant,𢬸
拐,yyb/variant,柺
怪,yyb/variant,恠
管,yyb/variant,筦
館,yyb/variant,舘
罐,yyb/variant,鑵
規,yyb/variant,槼
瑰,yyb/variant,瓌
果,yyb/variant,菓
椁,yyb/variant,槨
函,yyb/variant,圅
悍,yyb/variant,猂
焊,yyb/variant,釬
焊,yyb/variant,銲
捍,yyb/variant,扞
嗥,yyb/variant,嘷
嗥,yyb/variant,獋
皓,yyb/variant,皜
皓,yyb/variant,暠
蚝,yyb/variant,蠔
盍,yyb/variant,盇
核,yyb/variant,覈
和,yyb/variant,龢
和,yyb/variant,咊
恒,yyb/variant,恆
哄,yyb/variant,閧
哄,yyb/variant,鬨
糇,yyb/variant,餱
呼,yyb/variant,虖
呼,yyb/variant,嘑
呼,yyb/variant,謼
糊,yyb/variant,粘
糊,yyb/variant,餬
胡,yyb/variant,衚
話,yyb/variant,䛡
嘩,yyb/variant,譁
花,yyb/variant,芲
花,yyb/variant,蘤
獾,yyb/variant,貛
獾,yyb/variant,䝔
歡,yyb/variant,懽
歡,yyb/variant,讙
歡,yyb/variant,驩
恍,yyb/variant,怳
晃,yyb/variant,㨪
毁,yyb/variant,燬
毁,yyb/variant,譭
蛔,yyb/variant,蛕
蛔,yyb/variant,蚘
蛔,yyb/variant,痐
蛔,yyb/variant,蜖
輝,yyb/variant,煇
匯,yyb/variant,滙
迴,yyb/variant,廻
迴,yyb/variant,逥
徽,yyb/variant,幑
魂,yyb/variant,䰟
昏,yyb/variant,昬
禍,yyb/variant,旤
羈,yyb/variant,覊
鷄,yyb/variant,雞
楫,yyb/variant,檝
績,yyb/variant,勣
迹,yyb/variant,跡
迹,yyb/variant,蹟
期,yyb/variant,朞
賫,yyb/variant,賷
賫,yyb/variant,齎
假,yyb/variant,叚
夾,yyb/variant,裌
夾,yyb/variant,袷
箋,yyb/variant,牋
箋,yyb/variant,椾
劍,yyb/variant,劒
鑒,yyb/variant,鑑
鑒,yyb/variant,鍳
緘,yyb/variant,椷
奸,yyb/variant,姦
鹼,yyb/variant,鹻
碱,yyb/variant,堿
减,yyb/variant,減
繭,yyb/variant,蠒
繮,yyb/variant,韁
僵,yyb/variant,殭
奬,yyb/variant,獎
僥,yyb/variant,儌
叫,yyb/variant,呌
剿,yyb/variant,勦
剿,yyb/variant,𠞰
脚,yyb/variant,腳
秸,yyb/variant,稭
届,yyb/variant,屆
階,yyb/variant,堦
潔,yyb/variant,絜
劫,yyb/variant,刼
劫,yyb/variant,刧
劫,yyb/variant,刦
杰,yyb/variant,傑
捷,yyb/variant,㨗
斤,yyb/variant,觔
晋,yyb/variant,晉
緊,yyb/variant,𦂳
緊,yyb/variant,𦃂
阱,yyb/variant,穽
徑,yyb/variant,逕
凈,yyb/variant,淨
脛,yyb/variant,踁
炯,yyb/variant,烱
迥,yyb/variant,逈
韭,yyb/variant,韮
救,yyb/variant,捄
糾,yyb/variant,糺
揪,yyb/variant,揫
厩,yyb/variant,廐
厩,yyb/variant,廄
巨,yyb/variant,鉅
矩,yyb/variant,榘
局,yyb/variant,侷
局,yyb/variant,跼
據,yyb/variant,㨿
舉,yyb/variant,擧
颶,yyb/variant,𩗗
狷,yyb/variant,獧
眷,yyb/variant,睠
倦,yyb/variant,勌
橛,yyb/variant,橜
撅,yyb/variant,噘
决,yyb/variant,決
俊,yyb/variant,儁
俊,yyb/variant,㑺
浚,yyb/variant,濬
隽,yyb/variant,雋
慨,yyb/variant,嘅
刊,yyb/variant,栞
瞰,yyb/variant,矙
侃,yyb/variant,偘
坎,yyb/variant,埳
糠,yyb/variant,穅
糠,yyb/variant,粇
炕,yyb/variant,匟
考,yyb/variant,攷
咳,yyb/variant,欬
疴,yyb/variant,痾
剋,yyb/variant,尅
肯,yyb/variant,肎
坑,yyb/variant,阬
寇,yyb/variant,宼
寇,yyb/variant,冦
叩,yyb/variant,敂
扣,yyb/variant,釦
褲,yyb/variant,袴
款,yyb/variant,欵
况,yyb/variant,況
礦,yyb/variant,鑛
饋,yyb/variant,餽
愧,yyb/variant,媿
窺,yyb/variant,闚
昆,yyb/variant,崑
昆,yyb/variant,崐
捆,yyb/variant,綑
坤,yyb/variant,堃
闊,yyb/variant,濶
辣,yyb/variant,辢
臘,yyb/variant,臈
賴,yyb/variant,頼
懶,yyb/variant,嬾
婪,yyb/variant,惏
螂,yyb/variant,蜋
琅,yyb/variant,瑯
泪,yyb/variant,淚
棱,yyb/variant,稜
厘,yyb/variant,釐
裏,yyb/variant,裡
歷,yyb/variant,𠪱
歷,yyb/variant,歴
曆,yyb/variant,厤
莅,yyb/variant,蒞
莅,yyb/variant,涖
犁,yyb/variant,犂
狸,yyb/variant,貍
梨,yyb/variant,棃
隸,yyb/variant,隷
隸,yyb/variant,𨽻
藜,yyb/variant,蔾
栗,yyb/variant,凓
栗,yyb/variant,慄
璃,yyb/variant,琍
璃,yyb/variant,瓈
荔,yyb/variant,茘
廉,yyb/variant,亷
廉,yyb/variant,㢘
鐮,yyb/variant,䥥
鐮,yyb/variant,鎌
奩,yyb/variant,匳
奩,yyb/variant,匲
奩,yyb/variant,籢
煉,yyb/variant,鍊
斂,yyb/variant,歛
梁,yyb/variant,樑
凉,yyb/variant,涼
麟,yyb/variant,麐
吝,yyb/variant,恡
鄰,yyb/variant,隣
淋,yyb/variant,痳
磷,yyb/variant,燐
磷,yyb/variant,粦
菱,yyb/variant,蔆
留,yyb/variant,㽞
留,yyb/variant,畱
留,yyb/variant,𤱊
琉,yyb/variant,瑠
琉,yyb/variant,璢
瘤,yyb/variant,癅
柳,yyb/variant,栁
柳,yyb/variant,桺
弄,yyb/variant,衖
弄,yyb/variant,挵
櫓,yyb/variant,艪
櫓,yyb/variant,㯭
櫓,yyb/variant,艣
櫓,yyb/variant,樐
碌,yyb/variant,磟
戮,yyb/variant,剹
戮,yyb/variant,勠
爐,yyb/variant,鑪
綠,yyb/variant,菉
略,yyb/variant,畧
侖,yyb/variant,崘
侖,yyb/variant,崙
裸,yyb/variant,躶
裸,yyb/variant,臝
騾,yyb/variant,驘
