# 部品の相対位置の違いによる異体字
kdp/variant/positional,<rev>,kdp/variant/positional
盲,kdp/variant/positional,盳
盼,kdp/variant/positional,𥄟
盿,kdp/variant/positional,𥄐
眂,kdp/variant/positional,𥄇
眔,kdp/variant/positional,𥄳
眥,kdp/variant/positional,眦
眪,kdp/variant/positional,𥅙
眯,kdp/variant/positional,𥅼
睌,kdp/variant/positional,𥇅
瞥,kdp/variant/positional,𥋗
矀,kdp/variant/positional,𥋪
矔,kdp/variant/positional,𥍊
矪,kdp/variant/positional,𥎻
砦,kdp/variant/positional,䂣
砮,kdp/variant/positional,𥑌
硨,kdp/variant/positional,𨋓
磐,kdp/variant/positional,䃑
磛,kdp/variant/positional,𥕌
磻,kdp/variant/positional,𥕿
礅,kdp/variant/positional,䃦
礔,kdp/variant/positional,礕
礜,kdp/variant/positional,礖
礧,kdp/variant/positional,礨
礱,kdp/variant/positional,礲
秀,kdp/variant/positional,䄧
秊,kdp/variant/positional,䄭
秋,kdp/variant/positional,秌
秋,kdp/variant/positional,𤇫
秌,kdp/variant/positional,𤇫
秶,kdp/variant/positional,䅆
種,kdp/variant/positional,𥠭
稽,kdp/variant/positional,𥡞
稿,kdp/variant/positional,稾
穆,kdp/variant/positional,𥡻
積,kdp/variant/positional,𥡯
突,kdp/variant/positional,𥤮
窴,kdp/variant/positional,𥧑
竧,kdp/variant/positional,䠴
篹,kdp/variant/positional,𥲻
粑,kdp/variant/positional,𥸿
紥,kdp/variant/positional,𥾱
紼,kdp/variant/positional,𥿏
絍,kdp/variant/positional,䋕
絘,kdp/variant/positional,𥿩
絮,kdp/variant/positional,𦀌
緅,kdp/variant/positional,𦁫
縬,kdp/variant/positional,𦄉
縳,kdp/variant/positional,𦄯
縻,kdp/variant/positional,䌕
繳,kdp/variant/positional,𦅾
罰,kdp/variant/positional,𠟟
群,kdp/variant/positional,羣
羾,kdp/variant/positional,𦏺
羾,kdp/variant/positional,𦏼
翂,kdp/variant/positional,𦐈
翃,kdp/variant/positional,𦐌
翅,kdp/variant/positional,翄
翇,kdp/variant/positional,𦐗
翍,kdp/variant/positional,𦐢
翎,kdp/variant/positional,䎆
翎,kdp/variant/positional,𫅤
翐,kdp/variant/positional,𦐝
翑,kdp/variant/positional,𦐛
翕,kdp/variant/positional,翖
翕,kdp/variant/positional,𦐬
翖,kdp/variant/positional,𦐬
翠,kdp/variant/positional,𦑋
翥,kdp/variant/positional,𦑥
翦,kdp/variant/positional,𦑦
翩,kdp/variant/positional,𦑮
翪,kdp/variant/positional,𦑨
翬,kdp/variant/positional,𦑩
翭,kdp/variant/positional,𦑤
翼,kdp/variant/positional,𦒖
翾,kdp/variant/positional,𦒠
耄,kdp/variant/positional,𣭢
聭,kdp/variant/positional,𩲽
聳,kdp/variant/positional,𦗜
聾,kdp/variant/positional,䏊
肇,kdp/variant/positional,𢾹
胸,kdp/variant/positional,胷
胸,kdp/variant/positional,胷
脀,kdp/variant/positional,𦚦
脅,kdp/variant/positional,脇
腆,kdp/variant/positional,䐌
腰,kdp/variant/positional,𦝫
臃,kdp/variant/positional,𦡚
臍,kdp/variant/positional,𪗇
臖,kdp/variant/positional,𦢯
臦,kdp/variant/positional,𦣩
臭,kdp/variant/positional,𦤀
臲,kdp/variant/positional,𦤞
舅,kdp/variant/positional,𦥶
舌,kdp/variant/positional,吀
舕,kdp/variant/positional,𦧡
萖,kdp/variant/positional,𦯵
蒁,kdp/variant/positional,𦳯
虁,kdp/variant/positional,𡖂
虓,kdp/variant/positional,𧆟
虓,kdp/variant/positional,𧆬
虢,kdp/variant/positional,𧇛
虣,kdp/variant/positional,𧇭
虥,kdp/variant/positional,虦
虹,kdp/variant/positional,𧈫
虹,kdp/variant/positional,𧈬
虻,kdp/variant/positional,䖟
蚊,kdp/variant/positional,蚉
蚔,kdp/variant/positional,𧉜
蚕,kdp/variant/positional,𧉂
蚖,kdp/variant/positional,𧉗
蚡,kdp/variant/positional,蚠
蚮,kdp/variant/positional,𧊇
蚹,kdp/variant/positional,𧊆
蚻,kdp/variant/positional,𧉹
蛀,kdp/variant/positional,𧉉
蛀,kdp/variant/positional,𧉶
蛙,kdp/variant/positional,䖯
蛚,kdp/variant/positional,𧊿
蛜,kdp/variant/positional,𧊰
蛤,kdp/variant/positional,𧊧
蛬,kdp/variant/positional,𧋄
蛷,kdp/variant/positional,𧋛
蛾,kdp/variant/positional,䖸
蜂,kdp/variant/positional,𧋴
蜃,kdp/variant/positional,蜄
蜊,kdp/variant/positional,䖽
蜑,kdp/variant/positional,蜒
蜘,kdp/variant/positional,𧌲
蜙,kdp/variant/positional,𧌻
蜚,kdp/variant/positional,𧍃
蜞,kdp/variant/positional,蜝
蜥,kdp/variant/positional,蜤
蜮,kdp/variant/positional,𧌒
蜰,kdp/variant/positional,𧌳
蜱,kdp/variant/positional,𧌠
蜿,kdp/variant/positional,䗕
蝂,kdp/variant/positional,𧌿
蝌,kdp/variant/positional,𧎗
蝥,kdp/variant/positional,𧎄
蝦,kdp/variant/positional,𧎂
蝴,kdp/variant/positional,𧍵
蝵,kdp/variant/positional,𧎐
蝸,kdp/variant/positional,𧎏
蝽,kdp/variant/positional,𧎌
螄,kdp/variant/positional,𧏍
螈,kdp/variant/positional,𧏐
螌,kdp/variant/positional,𧏘
融,kdp/variant/positional,螎
螏,kdp/variant/positional,𧎿
螫,kdp/variant/positional,𧐭
螯,kdp/variant/positional,𧑃
螱,kdp/variant/positional,𧐇
螸,kdp/variant/positional,𧐄
螹,kdp/variant/positional,𧐮
蟆,kdp/variant/positional,蟇
蟖,kdp/variant/positional,蟴
蟚,kdp/variant/positional,蟛
蟠,kdp/variant/positional,𧑪
蟨,kdp/variant/positional,蟩
蟯,kdp/variant/positional,𧑣
蟰,kdp/variant/positional,𧑛
蟵,kdp/variant/positional,𧒉
蟷,kdp/variant/positional,𧒾
蟹,kdp/variant/positional,蠏
蟿,kdp/variant/positional,𧒼
蠈,kdp/variant/positional,𧒿
蠍,kdp/variant/positional,𧓃
蠐,kdp/variant/positional,𧓉
蠞,kdp/variant/positional,䗻
衃,kdp/variant/positional,𧖯
衇,kdp/variant/positional,𧖴
衧,kdp/variant/positional,𧘘
衮,kdp/variant/positional,衳
衯,kdp/variant/positional,𧘠
衷,kdp/variant/positional,衶
衺,kdp/variant/positional,𧘪
衿,kdp/variant/positional,𧘭
袍,kdp/variant/positional,袌
袔,kdp/variant/positional,𧙃
袖,kdp/variant/positional,𧙏
袠,kdp/variant/positional,袟
袦,kdp/variant/positional,𧙉
袧,kdp/variant/positional,𧙎
袲,kdp/variant/positional,袳
裏,kdp/variant/positional,裡
裕,kdp/variant/positional,䘱
裰,kdp/variant/positional,𧚰
裵,kdp/variant/positional,裶
裸,kdp/variant/positional,裹
褒,kdp/variant/positional,褓
褭,kdp/variant/positional,𧜗
褻,kdp/variant/positional,褹
覅,kdp/variant/positional,𡠍
覅,kdp/variant/positional,𧟰
覒,kdp/variant/positional,𧠑
覥,kdp/variant/positional,𧡝
覸,kdp/variant/positional,𧢑
覹,kdp/variant/positional,𧢒
覹,kdp/variant/positional,𧢓
觕,kdp/variant/positional,𧢻
觕,kdp/variant/positional,𧣈
訄,kdp/variant/positional,訅
訄,kdp/variant/positional,𧥠
訅,kdp/variant/positional,𧥠
訾,kdp/variant/positional,訿
詞,kdp/variant/positional,䛐
誣,kdp/variant/positional,𧨈
諃,kdp/variant/positional,𧩋
諏,kdp/variant/positional,𧩞
謉,kdp/variant/positional,𧪵
謉,kdp/variant/positional,𧫏
謨,kdp/variant/positional,謩
謷,kdp/variant/positional,謸
譍,kdp/variant/positional,𫍑
警,kdp/variant/positional,䜘
譺,kdp/variant/positional,𧭐
讔,kdp/variant/positional,𧮐
谹,kdp/variant/positional,𧮯
谿,kdp/variant/positional,豀
豁,kdp/variant/positional,𧯆
豌,kdp/variant/positional,𧯳
豬,kdp/variant/positional,𧳯
貯,kdp/variant/positional,𧵒
賅,kdp/variant/positional,賌
賚,kdp/variant/positional,𧶛
賤,kdp/variant/positional,𧶤
賦,kdp/variant/positional,䝾
賨,kdp/variant/positional,賩
贇,kdp/variant/positional,𧸔
贈,kdp/variant/positional,𧸑
贕,kdp/variant/positional,𧸷
赨,kdp/variant/positional,𧋒
趗,kdp/variant/positional,𧻻
輂,kdp/variant/positional,輁
輓,kdp/variant/positional,𨌜
轤,kdp/variant/positional,𨏧
辣,kdp/variant/positional,辢
邔,kdp/variant/positional,𨙬
邳,kdp/variant/positional,𨸹
郁,kdp/variant/positional,陏
鄂,kdp/variant/positional,𨺨
鄗,kdp/variant/positional,䧚
鄟,kdp/variant/positional,䧠
鄬,kdp/variant/positional,䧦
酄,kdp/variant/positional,𨽧
酓,kdp/variant/positional,𨟹
酬,kdp/variant/positional,𨠩
醐,kdp/variant/positional,𨡷
醔,kdp/variant/positional,𨡲
醝,kdp/variant/positional,𨢚
醡,kdp/variant/positional,𨢛
鈞,kdp/variant/positional,𨥒
鈴,kdp/variant/positional,𨥷
鉚,kdp/variant/positional,𨥫
銁,kdp/variant/positional,銞
銐,kdp/variant/positional,𨦙
銣,kdp/variant/positional,𨦔
銮,kdp/variant/positional,𫒚
銴,kdp/variant/positional,𨦬
鋓,kdp/variant/positional,鋫
錃,kdp/variant/positional,𨨏
錖,kdp/variant/positional,𨧷
鍙,kdp/variant/positional,𨩅
鍟,kdp/variant/positional,𨩛
鍪,kdp/variant/positional,𨩺
鍬,kdp/variant/positional,鍫
鏊,kdp/variant/positional,𨫼
鏖,kdp/variant/positional,鏕
鏘,kdp/variant/positional,𨫥
鏨,kdp/variant/positional,鏩
鏹,kdp/variant/positional,䥒
鐅,kdp/variant/positional,䥕
鐆,kdp/variant/positional,䥙
鐓,kdp/variant/positional,鐜
鐝,kdp/variant/positional,𨬐
鐴,kdp/variant/positional,鐾
鑆,kdp/variant/positional,𨮝
鑈,kdp/variant/positional,𨮪
鑋,kdp/variant/positional,𨮫
門,kdp/variant/positional,𨳈
開,kdp/variant/positional,𨴚
隣,kdp/variant/positional,鄰
隲,kdp/variant/positional,騭
隿,kdp/variant/positional,𨾍
雖,kdp/variant/positional,𧐌
霒,kdp/variant/positional,𩃬
靠,kdp/variant/positional,𩇸
靾,kdp/variant/positional,𩊈
鞍,kdp/variant/positional,鞌
鞤,kdp/variant/positional,𩋮
韙,kdp/variant/positional,䪘
韡,kdp/variant/positional,𩏧
頙,kdp/variant/positional,𩑠
頮,kdp/variant/positional,颒
頾,kdp/variant/positional,頿
類,kdp/variant/positional,𩔖
顥,kdp/variant/positional,𫖧
颫,kdp/variant/positional,𩖬
颯,kdp/variant/positional,䬃
颷,kdp/variant/positional,𩗹
颹,kdp/variant/positional,𩘚
颺,kdp/variant/positional,䬗
颻,kdp/variant/positional,䬙
颽,kdp/variant/positional,𩘥
颿,kdp/variant/positional,䬚
飁,kdp/variant/positional,𩘴
飂,kdp/variant/positional,𩘷
飃,kdp/variant/positional,飄
飆,kdp/variant/positional,飇
飈,kdp/variant/positional,飊
飉,kdp/variant/positional,𩙂
飧,kdp/variant/positional,𩚏
馼,kdp/variant/positional,𩢌
馿,kdp/variant/positional,𩢉
駂,kdp/variant/positional,𩢈
駘,kdp/variant/positional,𩢠
駚,kdp/variant/positional,𩢥
駪,kdp/variant/positional,𩣂
駯,kdp/variant/positional,𩢻
駷,kdp/variant/positional,𣜋
騀,kdp/variant/positional,𩣣
騀,kdp/variant/positional,𩣨
騖,kdp/variant/positional,𩤝
騙,kdp/variant/positional,騗
騩,kdp/variant/positional,𩥢
騳,kdp/variant/positional,𩥋
驀,kdp/variant/positional,䮬
驁,kdp/variant/positional,䮯
驇,kdp/variant/positional,騺
骴,kdp/variant/positional,𩨱
髍,kdp/variant/positional,䯢
鬭,kdp/variant/positional,鬬
鬷,kdp/variant/positional,𩱅
魄,kdp/variant/positional,𩲸
魊,kdp/variant/positional,䰥
魎,kdp/variant/positional,𩳮
魕,kdp/variant/positional,𩴪
魖,kdp/variant/positional,𩴥
魦,kdp/variant/positional,𩵮
魫,kdp/variant/positional,𩵫
魭,kdp/variant/positional,𩵶
鮆,kdp/variant/positional,𩶆
鮘,kdp/variant/positional,𩶕
鮝,kdp/variant/positional,𫙝
鮤,kdp/variant/positional,𩶽
鯊,kdp/variant/positional,鯋
鯬,kdp/variant/positional,𩸢
鯯,kdp/variant/positional,䱥
鰍,kdp/variant/positional,𩹤
鰵,kdp/variant/positional,䲄
鱀,kdp/variant/positional,𩺺
鱮,kdp/variant/positional,𩼹
鳨,kdp/variant/positional,𩾜
鳩,kdp/variant/positional,䲥
鳩,kdp/variant/positional,𩾛
鳱,kdp/variant/positional,𩾝
鳲,kdp/variant/positional,䲩
鳶,kdp/variant/positional,𩾢
鳸,kdp/variant/positional,𩿇
鳼,kdp/variant/positional,鴍
鳾,kdp/variant/positional,𩿐
鴃,kdp/variant/positional,鴂
鴊,kdp/variant/positional,𩿳
鴋,kdp/variant/positional,䲱
鴐,kdp/variant/positional,𪀁
鴔,kdp/variant/positional,𪀐
鴚,kdp/variant/positional,𪀉
鴟,kdp/variant/positional,𪀍
鴢,kdp/variant/positional,𪀂
鴣,kdp/variant/positional,𩿵
鴦,kdp/variant/positional,𩿶
鴨,kdp/variant/positional,𩿼
鴨,kdp/variant/positional,𪀌
鴩,kdp/variant/positional,䳀
鴶,kdp/variant/positional,𪁄
鵀,kdp/variant/positional,𪀼
鵁,kdp/variant/positional,𪁉
鵂,kdp/variant/positional,𪀪
鵌,kdp/variant/positional,䳜
鵏,kdp/variant/positional,𪁭
鵑,kdp/variant/positional,𫚼
鵔,kdp/variant/positional,鵕
鵜,kdp/variant/positional,𪁩
鵝,kdp/variant/positional,䳗
鵝,kdp/variant/positional,䳘
鵝,kdp/variant/positional,鵞
鵞,kdp/variant/positional,䳗
鵞,kdp/variant/positional,䳘
鵡,kdp/variant/positional,𫛁
鵩,kdp/variant/positional,𪂖
鵫,kdp/variant/positional,𪂱
鵬,kdp/variant/positional,𪂙
鵯,kdp/variant/positional,𪂃
鵱,kdp/variant/positional,𪂚
鵾,kdp/variant/positional,𪂳
鶀,kdp/variant/positional,䳢
鶃,kdp/variant/positional,鶂
鶄,kdp/variant/positional,𪂴
鶇,kdp/variant/positional,𪂝
鶉,kdp/variant/positional,𪂎
鶒,kdp/variant/positional,𪃠
鶓,kdp/variant/positional,𪃞
鶖,kdp/variant/positional,𪃩
鶗,kdp/variant/positional,𪂿
鶧,kdp/variant/positional,𪃳
鶳,kdp/variant/positional,𪄜
鶴,kdp/variant/positional,𫛏
鶵,kdp/variant/positional,𪄞
鶽,kdp/variant/positional,𪄩
鷀,kdp/variant/positional,鶿
鷀,kdp/variant/positional,鶿
鷄,kdp/variant/positional,䳶
鷇,kdp/variant/positional,𪅏
鷉,kdp/variant/positional,鷈
鷒,kdp/variant/positional,𪅘
鷕,kdp/variant/positional,𪄼
鷗,kdp/variant/positional,䳼
鷘,kdp/variant/positional,𪅙
鷚,kdp/variant/positional,𪅡
鷛,kdp/variant/positional,𪅟
鷜,kdp/variant/positional,𪅛
鷢,kdp/variant/positional,𪆙
鷦,kdp/variant/positional,𪆄
鷧,kdp/variant/positional,𪆖
鷨,kdp/variant/positional,𫛓
鷫,kdp/variant/positional,𪆭
鷲,kdp/variant/positional,𪆩
鷺,kdp/variant/positional,𪆬
鷺,kdp/variant/positional,𪆽
鷻,kdp/variant/positional,𪆃
鷻,kdp/variant/positional,𪆝
鷿,kdp/variant/positional,𪇊
鸀,kdp/variant/positional,𪇆
鸃,kdp/variant/positional,䴊
鸊,kdp/variant/positional,鷿
鸊,kdp/variant/positional,𪇊
鸌,kdp/variant/positional,𪇡
鸎,kdp/variant/positional,䴍
鸒,kdp/variant/positional,𪇬
鸓,kdp/variant/positional,䴎
鸔,kdp/variant/positional,𪇰
鸕,kdp/variant/positional,𪈒
鸗,kdp/variant/positional,𪈗
鸚,kdp/variant/positional,𪈤
鸛,kdp/variant/positional,𪈩
鸝,kdp/variant/positional,𪈳
鹹,kdp/variant/positional,𪉳
鹺,kdp/variant/positional,𪉵
麂,kdp/variant/positional,𪊋
麅,kdp/variant/positional,𪊡
麋,kdp/variant/positional,麊
麐,kdp/variant/positional,𪊺
麞,kdp/variant/positional,𪋟
麟,kdp/variant/positional,𫜏
麢,kdp/variant/positional,𪋶
麣,kdp/variant/positional,𪋹
黂,kdp/variant/positional,𪎰
黙,kdp/variant/positional,默
黜,kdp/variant/positional,𪐽
點,kdp/variant/positional,㸃
黦,kdp/variant/positional,䵫
鼗,kdp/variant/positional,𪔛
鼘,kdp/variant/positional,𪔥
鼝,kdp/variant/positional,𪔱
鼯,kdp/variant/positional,𪕡
鼶,kdp/variant/positional,𪕻
鼸,kdp/variant/positional,𪕼
鼽,kdp/variant/positional,𪖒
齆,kdp/variant/positional,𪖵
齇,kdp/variant/positional,𪖸
齌,kdp/variant/positional,㸄
齜,kdp/variant/positional,𪗶
齭,kdp/variant/positional,𪘷
齱,kdp/variant/positional,𪘸
齹,kdp/variant/positional,𪙉
齺,kdp/variant/positional,𪙗
齾,kdp/variant/positional,𪚋
龓,kdp/variant/positional,𪚞
龢,kdp/variant/positional,𥤉
﨎,kdp/variant/positional,𪯩
𠁚,kdp/variant/positional,𣍋
𠂪,kdp/variant/positional,𠂫
𠅍,kdp/variant/positional,𠅒
𠅎,kdp/variant/positional,𠅐
𠅣,kdp/variant/positional,𡕧
𠅣,kdp/variant/positional,𡕬
𠅳,kdp/variant/positional,𠺯
𠊝,kdp/variant/positional,𠳙
𠋢,kdp/variant/positional,𠊯
𠌊,kdp/variant/positional,𪩭
𠍔,kdp/variant/positional,𦵋
𠑖,kdp/variant/positional,𡾵
𠑗,kdp/variant/positional,㒨
𠓄,kdp/variant/positional,𩣦
𠓓,kdp/variant/positional,𨮠
𠓹,kdp/variant/positional,𠓻
𠘮,kdp/variant/positional,𠘰
𠚐,kdp/variant/positional,𣐯
𠚞,kdp/variant/positional,𤔼
𠛤,kdp/variant/positional,𪟂
𠜰,kdp/variant/positional,𠜧
𠡯,kdp/variant/positional,𠡸
𠢅,kdp/variant/positional,𠢍
𠢞,kdp/variant/positional,𠢟
𠢤,kdp/variant/positional,𠢭
𠢱,kdp/variant/positional,𠢵
𠢸,kdp/variant/positional,𤏪
𠣀,kdp/variant/positional,𠣃
𠨃,kdp/variant/positional,𡖦
𠩃,kdp/variant/positional,𠩉
𠫅,kdp/variant/positional,𠫆
𠫾,kdp/variant/positional,𪠞
𠬕,kdp/variant/positional,𠬖
𠬮,kdp/variant/positional,𠬩
𠭙,kdp/variant/positional,𠭜
𠮫,kdp/variant/positional,𠮬
𠮱,kdp/variant/positional,𠮲
𠮳,kdp/variant/positional,𠮵
𠰬,kdp/variant/positional,𠱋
𠰰,kdp/variant/positional,𠰺
𠱝,kdp/variant/positional,𠱮
𠲉,kdp/variant/positional,𠲏
𠲗,kdp/variant/positional,𠱫
𠲯,kdp/variant/positional,𠳨
𠳊,kdp/variant/positional,𠳌
𠸁,kdp/variant/positional,𪡤
𠸛,kdp/variant/positional,𠸜
𠹾,kdp/variant/positional,𠺥
𠺃,kdp/variant/positional,𠺲
𠼃,kdp/variant/positional,𠼗
𠾣,kdp/variant/positional,𠾤
𠿉,kdp/variant/positional,𠿊
𠿎,kdp/variant/positional,𡁑
𡃋,kdp/variant/positional,𧷺
𡉧,kdp/variant/positional,𡉼
𡉷,kdp/variant/positional,𪣀
𡊁,kdp/variant/positional,𡊂
𡊅,kdp/variant/positional,𡊯
𡊭,kdp/variant/positional,𪣊
𡋐,kdp/variant/positional,𡋑
𡌊,kdp/variant/positional,𡌋
𡌘,kdp/variant/positional,𡌆
𡎢,kdp/variant/positional,𡎥
𡎢,kdp/variant/positional,𡎦
𡎥,kdp/variant/positional,𡎦
𡏇,kdp/variant/positional,𨻐
𡏇,kdp/variant/positional,𨻐
𡐣,kdp/variant/positional,𡑉
𡑠,kdp/variant/positional,𡑌
𡒈,kdp/variant/positional,𡑥
𡒉,kdp/variant/positional,𡒤
𡒊,kdp/variant/positional,𪤧
𡓃,kdp/variant/positional,𪤬
𡓋,kdp/variant/positional,𡳪
𡕧,kdp/variant/positional,𡕬
𡖞,kdp/variant/positional,𡖡
𡗉,kdp/variant/positional,𡗊
𡗝,kdp/variant/positional,𢎴
𡗻,kdp/variant/positional,𡘉
𡗼,kdp/variant/positional,𡘌
𡘘,kdp/variant/positional,𡘛
𡚗,kdp/variant/positional,𤳦
𡚡,kdp/variant/positional,𡚢
𡚰,kdp/variant/positional,𡚮
𡝂,kdp/variant/positional,娤
𡟪,kdp/variant/positional,𡠋
𡠍,kdp/variant/positional,𧟰
𡠥,kdp/variant/positional,𡠤
𡡚,kdp/variant/positional,𡡾
𡢐,kdp/variant/positional,𪢈
𡢕,kdp/variant/positional,𡢶
𡣡,kdp/variant/positional,𡣠
𡤀,kdp/variant/positional,𪔈
𡤓,kdp/variant/positional,𡤔
𡤓,kdp/variant/positional,𪦲
𡤔,kdp/variant/positional,𪦲
𡤣,kdp/variant/positional,𡤨
𡦱,kdp/variant/positional,𡦳
𡦵,kdp/variant/positional,𡦲
𡨍,kdp/variant/positional,𤬽
𡨹,kdp/variant/positional,𡨺
𡭉,kdp/variant/positional,𪧻
𡭝,kdp/variant/positional,𡭣
𡭧,kdp/variant/positional,𪨀
𡭱,kdp/variant/positional,𡭲
𡭾,kdp/variant/positional,𡮈
𡮣,kdp/variant/positional,𡮤
𡮣,kdp/variant/positional,𡮥
𡮤,kdp/variant/positional,𡮥
𡮬,kdp/variant/positional,𡮮
𡮵,kdp/variant/positional,𡮶
𡮷,kdp/variant/positional,𡮺
𡰌,kdp/variant/positional,𡰍
𡱩,kdp/variant/positional,𢭑
𡲪,kdp/variant/positional,𡥸
𡳢,kdp/variant/positional,𡳣
𡳢,kdp/variant/positional,𡳤
𡳣,kdp/variant/positional,𡳤
𡳵,kdp/variant/positional,𡳶
𡴘,kdp/variant/positional,𪜏
𡴹,kdp/variant/positional,𡴺
𡴿,kdp/variant/positional,𡵎
𡵀,kdp/variant/positional,𡵍
𡵆,kdp/variant/positional,𡵒
𡵋,kdp/variant/positional,𡵊
𡵑,kdp/variant/positional,岃
𡵓,kdp/variant/positional,𡵦
𡵭,kdp/variant/positional,𡶁
𡵹,kdp/variant/positional,𡵷
𡶆,kdp/variant/positional,𡶅
𡶐,kdp/variant/positional,𡶥
𡶔,kdp/variant/positional,𡶙
𡶗,kdp/variant/positional,𡶘
𡷕,kdp/variant/positional,𡷱
𡷣,kdp/variant/positional,𡸂
𡷫,kdp/variant/positional,𪨯
𡸊,kdp/variant/positional,𡷭
𡸕,kdp/variant/positional,𡹗
𡸗,kdp/variant/positional,𡸲
𡸜,kdp/variant/positional,𡸽
𡸣,kdp/variant/positional,𡸢
𡸨,kdp/variant/positional,𡸘
𡸩,kdp/variant/positional,㟡
𡹄,kdp/variant/positional,𡹅
𡹇,kdp/variant/positional,𡹚
𡹞,kdp/variant/positional,𡹡
𡹬,kdp/variant/positional,𡺩
𡺔,kdp/variant/positional,𪩃
𡺡,kdp/variant/positional,𡺦
𡺭,kdp/variant/positional,𡻃
𡺱,kdp/variant/positional,𡻒
𡺿,kdp/variant/positional,𡻴
𡻙,kdp/variant/positional,𡻳
𡻜,kdp/variant/positional,𡼄
𡻟,kdp/variant/positional,𦷤
𡼩,kdp/variant/positional,𡼮
𡼯,kdp/variant/positional,𡼤
𡼾,kdp/variant/positional,𪩚
𡽁,kdp/variant/positional,𡽕
𡽟,kdp/variant/positional,𡽦
𡽳,kdp/variant/positional,𡽾
𡽵,kdp/variant/positional,㠚
𡾊,kdp/variant/positional,𡾋
𡾔,kdp/variant/positional,𡾊
𡾔,kdp/variant/positional,𡾋
𡾝,kdp/variant/positional,𡾨
𡾻,kdp/variant/positional,𡽴
𡿇,kdp/variant/positional,𡿏
𢂽,kdp/variant/positional,𢃆
𢃎,kdp/variant/positional,𢃤
𢃓,kdp/variant/positional,𢃪
𢅦,kdp/variant/positional,𢅨
𢆧,kdp/variant/positional,𢆨
𢊪,kdp/variant/positional,𥺧
𢌊,kdp/variant/positional,𢌌
𢎚,kdp/variant/positional,𢎛
𢏢,kdp/variant/positional,𢏣
𢑈,kdp/variant/positional,𢑉
𢒀,kdp/variant/positional,𢒁
𢖕,kdp/variant/positional,𢖖
𢚸,kdp/variant/positional,𪫵
𢛈,kdp/variant/positional,𪬍
𢛧,kdp/variant/positional,𢜐
𢠾,kdp/variant/positional,𦧰
𢦧,kdp/variant/positional,𢦵
𢪚,kdp/variant/positional,𢪨
𢴛,kdp/variant/positional,𪮣
𢺹,kdp/variant/positional,𢺺
𢼡,kdp/variant/positional,𦓫
𣁆,kdp/variant/positional,𣁉
𣁔,kdp/variant/positional,𪩥
𣁿,kdp/variant/positional,𣂀
𣂳,kdp/variant/positional,𣂴
𣃱,kdp/variant/positional,𪯵
𣄴,kdp/variant/positional,𣄵
𣄶,kdp/variant/positional,𣄷
𣅾,kdp/variant/positional,𣆀
𣆒,kdp/variant/positional,𣆭
𣆤,kdp/variant/positional,𣆥
𣆿,kdp/variant/positional,𣇙
𣇄,kdp/variant/positional,晣
𣇰,kdp/variant/positional,𣈅
𣇳,kdp/variant/positional,𣈒
𣈔,kdp/variant/positional,𣈘
𣈗,kdp/variant/positional,𣈜
𣈥,kdp/variant/positional,𣈯
𣉷,kdp/variant/positional,𥚯
𣊇,kdp/variant/positional,𪱄
𣊎,kdp/variant/positional,𣊓
𣊿,kdp/variant/positional,𣋂
𣋌,kdp/variant/positional,𣋓
𣌁,kdp/variant/positional,𣌂
𣍠,kdp/variant/positional,𣍣
𣍦,kdp/variant/positional,𦙿
𣎟,kdp/variant/positional,𦠅
𣎬,kdp/variant/positional,𪧰
𣐏,kdp/variant/positional,𦊧
𣒆,kdp/variant/positional,𣓘
𣒏,kdp/variant/positional,𣓙
𣓞,kdp/variant/positional,𣔒
𣔀,kdp/variant/positional,𦲜
𣖛,kdp/variant/positional,𣖢
𣗾,kdp/variant/positional,𣘈
𣗾,kdp/variant/positional,𪳔
𣘈,kdp/variant/positional,𪳔
𣙀,kdp/variant/positional,𣙗
𣙇,kdp/variant/positional,𣙯
𣙼,kdp/variant/positional,𨐠
𣛹,kdp/variant/positional,𣜅
𣜍,kdp/variant/positional,𣜵
𣜾,kdp/variant/positional,𪳼
𣝝,kdp/variant/positional,𣫎
𣠛,kdp/variant/positional,𣠥
𣡙,kdp/variant/positional,𣡚
𣢁,kdp/variant/positional,𣢂
𣢜,kdp/variant/positional,𣢢
𣤚,kdp/variant/positional,燞
𣥞,kdp/variant/positional,𣥟
𣦧,kdp/variant/positional,𣦬
𣩁,kdp/variant/positional,𣩂
𣩌,kdp/variant/positional,𢱵
𣬈,kdp/variant/positional,𣬉
𣬶,kdp/variant/positional,𣬷
𣬹,kdp/variant/positional,𣭔
𣭀,kdp/variant/positional,𣭚
𣭟,kdp/variant/positional,𣭡
𣭴,kdp/variant/positional,𣭵
𣮀,kdp/variant/positional,𣮂
𣮒,kdp/variant/positional,𣮣
𣮓,kdp/variant/positional,𣮥
𣮫,kdp/variant/positional,𣮱
𣮬,kdp/variant/positional,𣮯
𣮬,kdp/variant/positional,𣮸
𣮮,kdp/variant/positional,𪵟
𣮯,kdp/variant/positional,𣮸
𣮵,kdp/variant/positional,𣯁
𣯈,kdp/variant/positional,𣯚
𣯊,kdp/variant/positional,𣯟
𣯌,kdp/variant/positional,𣯢
𣯥,kdp/variant/positional,𣯮
𣯧,kdp/variant/positional,𣯯
𣯾,kdp/variant/positional,𣰅
𣰃,kdp/variant/positional,𣰄
𣰨,kdp/variant/positional,𪵢
𣰳,kdp/variant/positional,𣰴
𣳂,kdp/variant/positional,𣳖
