U+07E6B	U+04FC2	# context-dependent
U+07E4B	U+04FC2	# context-dependent, asahi
U+05F4E	U+06E7E	# context-dependent
U+05F2F	U+06E7E	# context-dependent, asahi
U+06F51	U+0767A	# context-dependent
U+06E8C	U+0767A	# context-dependent, asahi
U+06488	U+052B4	# context-dependent
U+0635E	U+052B4	# context-dependent, asahi
U+05006	U+091CF	# context-dependent
U+20213	U+091CF	# context-dependent, asahi
U+05DAE	U+0967A	# context-dependent
U+21E34	U+0967A	# context-dependent, asahi
U+0513C	U+053B3	# context-dependent
U+2044A	U+053B3	# context-dependent, asahi
U+066E0	U+05E83	# context-dependent
U+0663F	U+05E83	# context-dependent, asahi
U+0985A	U+08EE2	# context-dependent
U+0985B	U+08EE2	# context-dependent, asahi
U+06EF2	U+06D78	# context-dependent
U+06E17	U+06D78	# context-dependent, asahi
U+091B1	U+0767A	# context-dependent
U+09197	U+0767A	# context-dependent, asahi
U+062CB	U+0653E	# context-dependent
U+0629B	U+0653E	# context-dependent, asahi
